soccode, level1, level2, level3, level4, fullcode, title, description
11-3071,44.00,59.43,74.87,90.30,11-3071.01,Transportation Managers,"Plan, direct, or coordinate the transportation operations within an organization or the activities of organizations that provide transportation services."
11-3071,44.00,59.43,74.87,90.30,11-3071.00,"Transportation, Storage, and Distribution Managers","Plan, direct, or coordinate transportation, storage, or distribution activities in accordance with organizational policies and applicable government laws or regulations. Includes logistics managers."
11-3111,45.82,65.15,84.47,103.80,11-3111.00,Compensation and Benefits Managers,"Plan, direct, or coordinate compensation and benefits activities of an organization."
11-3121,44.98,63.71,82.44,101.17,11-3121.00,Human Resources Managers,"Plan, direct, or coordinate human resources activities and staff of an organization."
11-3131,28.93,43.27,57.60,71.94,11-3131.00,Training and Development Managers,"Plan, direct, or coordinate the training and development activities and staff of an organization."
11-9013,43.43,57.05,70.68,84.30,11-9013.03,Aquacultural Managers,"Direct and coordinate, through subordinate supervisory personnel, activities of workers engaged in fish hatchery production for corporations, cooperatives, or other owners."
11-9013,43.43,57.05,70.68,84.30,11-9013.02,Farm and Ranch Managers,"Plan, direct, or coordinate the management or operation of farms, ranches, greenhouses, aquacultural operations, nurseries, timber tracts, or other agricultural establishments. May hire, train, or supervise farm workers or contract for services to carry out the day-to-day activities of the managed operation. May engage in or supervise planting, cultivating, harvesting, financial, or marketing activities."
11-9013,43.43,57.05,70.68,84.30,11-9013.01,Nursery and Greenhouse Managers,"Plan, organize, direct, control, and coordinate activities of workers engaged in propagating, cultivating, and harvesting horticultural specialties, such as trees, shrubs, flowers, mushrooms, and other plants."
11-9013,43.43,57.05,70.68,84.30,11-9013.00,"Farmers, Ranchers, and Other Agricultural Managers","Plan, direct, or coordinate the management or operation of farms, ranches, greenhouses, aquacultural operations, nurseries, timber tracts, or other agricultural establishments. May hire, train, and supervise farm workers or contract for services to carry out the day-to-day activities of the managed operation. May engage in or supervise planting, cultivating, harvesting, and financial and marketing activities."
11-9021,37.34,68.67,100.00,131.33,11-9021.00,Construction Managers,"Plan, direct, or coordinate, usually through subordinate supervisory personnel, activities concerned with the construction and maintenance of structures, facilities, and systems. Participate in the conceptual development of a construction project and oversee its organization, scheduling, budgeting, and implementation. Includes managers in specialized construction fields, such as carpentry or plumbing."
11-9031,22.23,26.19,30.14,34.10,11-9031.00,"Education Administrators, Preschool and Childcare Center/Program","Plan, direct, or coordinate the academic and nonacademic activities of preschool and childcare centers or programs."
11-9032,72940.00,86447.00,99953.00,113460.00,11-9032.00,"Education Administrators, Elementary and Secondary School","Plan, direct, or coordinate the academic, administrative, or auxiliary activities of public or private elementary or secondary level schools."
11-9033,36.02,56.08,76.15,96.21,11-9033.00,"Education Administrators, Postsecondary","Plan, direct, or coordinate research, instructional, student administration and services, and other educational activities at postsecondary institutions, including universities, colleges, and junior and community colleges."
11-9039,41.18,46.13,51.08,56.03,11-9039.02,Fitness and Wellness Coordinators,"Manage or coordinate fitness and wellness programs and services. Manage and train staff of wellness specialists, health educators, or fitness instructors."
11-9039,41.18,46.13,51.08,56.03,11-9039.01,Distance Learning Coordinators,Coordinate day-to-day operations of distance learning programs and schedule courses.
11-9039,41.18,46.13,51.08,56.03,11-9039.00,"Education Administrators, All Other",All education administrators not listed separately.
11-9041,NOPE,NOPE,NOPE,NOPE,11-9041.01,Biofuels/Biodiesel Technology and Product Development Managers,"Define, plan, or execute biofuels/biodiesel research programs that evaluate alternative feedstock and process technologies with near-term commercial potential."
11-9041,NOPE,NOPE,NOPE,NOPE,11-9041.00,Architectural and Engineering Managers,"Plan, direct, or coordinate activities in such fields as architecture and engineering or research and development in these fields."
11-9051,27.45,40.70,53.96,67.21,11-9051.00,Food Service Managers,"Plan, direct, or coordinate activities of an organization or department that serves food and beverages."
11-9061,19.45,24.51,29.57,34.63,11-9061.00,Funeral Service Managers,"Plan, direct, or coordinate the services or resources of funeral homes. Includes activities such as determining prices for services or merchandise and managing the facilities of funeral homes."
11-9071,22.02,33.39,44.75,56.12,11-9071.00,Gaming Managers,"Plan, direct, or coordinate gaming operations in a casino. May formulate house rules."
11-9081,19.37,24.89,30.41,35.93,11-9081.00,Lodging Managers,"Plan, direct, or coordinate activities of an organization or department that provides lodging and other accommodations."
11-9111,44.33,59.17,74.00,88.84,11-9111.00,Medical and Health Services Managers,"Plan, direct, or coordinate medical and health services in hospitals, clinics, managed care organizations, public health agencies, or similar organizations."
11-9121,NOPE,NOPE,NOPE,NOPE,11-9121.02,Water Resource Specialists,"Design or implement programs and strategies related to water resource issues such as supply, quality, and regulatory compliance issues."
11-9121,NOPE,NOPE,NOPE,NOPE,11-9121.01,Clinical Research Coordinators,"Plan, direct, or coordinate clinical research projects. Direct the activities of workers engaged in clinical research projects to ensure compliance with protocols and overall clinical objectives. May evaluate and analyze clinical data."
11-9121,NOPE,NOPE,NOPE,NOPE,11-9121.00,Natural Sciences Managers,"Plan, direct, or coordinate activities in such fields as life sciences, physical sciences, mathematics, statistics, and research and development in these fields."
11-9131,34.14,38.38,42.62,46.86,11-9131.00,Postmasters and Mail Superintendents,"Plan, direct, or coordinate operational, administrative, management, and supportive services of a U.S. post office; or coordinate activities of workers engaged in postal and related work in assigned post office."
11-9141,31.97,60.08,88.20,116.31,11-9141.00,"Property, Real Estate, and Community Association Managers","Plan, direct, or coordinate the selling, buying, leasing, or governance activities of commercial, industrial, or residential real estate properties. Includes managers of homeowner and condominium associations, rented or leased housing units, buildings, or land (including rights-of-way)."
11-9151,34.08,43.55,53.01,62.48,11-9151.00,Social and Community Service Managers,"Plan, direct, or coordinate the activities of a social service program or community outreach organization. Oversee the program or organizations budget and policies regarding participant involvement, program requirements, and benefits. Work may involve directing social workers, counselors, or probation officers."
11-9161,35.93,47.82,59.70,71.59,11-9161.00,Emergency Management Directors,"Plan and direct disaster response or crisis management activities, provide disaster preparedness training, and prepare emergency plans and procedures for natural (e.g., hurricanes, floods, earthquakes), wartime, or technological (e.g., nuclear power plant emergencies or hazardous materials spills) disasters or hostage situations."
11-9199,42.28,72.81,103.34,133.87,11-9199.11,Brownfield Redevelopment Specialists and Site Managers,Plan and direct cleanup and redevelopment of contaminated properties for reuse. Does not include properties sufficiently contaminated to qualify as Superfund sites.
11-9199,42.28,72.81,103.34,133.87,11-9199.10,Wind Energy Project Managers,"Lead or manage the development and evaluation of potential wind energy business opportunities, including environmental studies, permitting, and proposals. May also manage construction of projects."
11-9199,42.28,72.81,103.34,133.87,11-9199.09,Wind Energy Operations Managers,"Manage wind field operations, including personnel, maintenance activities, financial activities, and planning."
11-9199,42.28,72.81,103.34,133.87,11-9199.08,Loss Prevention Managers,"Plan and direct policies, procedures, or systems to prevent the loss of assets. Determine risk exposure or potential liability, and develop risk control measures."
11-9199,42.28,72.81,103.34,133.87,11-9199.07,Security Managers,"Direct an organizations security functions, including physical security and safety of employees, facilities, and assets."
11-9199,42.28,72.81,103.34,133.87,11-9199.04,Supply Chain Managers,"Direct or coordinate production, purchasing, warehousing, distribution, or financial forecasting services or activities to limit costs and improve accuracy, customer service, or safety. Examine existing procedures or opportunities for streamlining activities to meet product distribution needs. Direct the movement, storage, or processing of inventory."
11-9199,42.28,72.81,103.34,133.87,11-9199.03,Investment Fund Managers,"Plan, direct, or coordinate investment strategy or operations for a large pool of liquid assets supplied by institutional investors or individual investors."
11-9199,42.28,72.81,103.34,133.87,11-9199.02,Compliance Managers,"Plan, direct, or coordinate activities of an organization to ensure compliance with ethical or regulatory standards."
11-9199,42.28,72.81,103.34,133.87,11-9199.01,Regulatory Affairs Managers,"Plan, direct, or coordinate production activities of an organization to ensure compliance with regulations and standard operating procedures."
11-9199,42.28,72.81,103.34,133.87,11-9199.00,"Managers, All Other",All managers not listed separately.
13-1011,27.40,44.83,62.26,79.69,13-1011.00,"Agents and Business Managers of Artists, Performers, and Athletes","Represent and promote artists, performers, and athletes in dealings with current or prospective employers. May handle contract negotiation and other business matters for clients."
13-1021,27.86,47.13,66.41,85.68,13-1021.00,"Buyers and Purchasing Agents, Farm Products","Purchase farm products either for further processing or resale. Includes tree farm contractors, grain brokers and market operators, grain buyers, and tobacco buyers."
13-1022,27.86,47.13,66.41,85.68,13-1022.00,"Wholesale and Retail Buyers, Except Farm Products","Buy merchandise or commodities, other than farm products, for resale to consumers at the wholesale or retail level, including both durable and nondurable goods. Analyze past buying trends, sales records, price, and quality of merchandise to determine value and yield. Select, order, and authorize payment for merchandise according to contractual agreements. May conduct meetings with sales personnel and introduce new products. Includes assistant wholesale and retail buyers of nonfarm products."
13-1023,27.86,47.13,66.41,85.68,13-1023.00,"Purchasing Agents, Except Wholesale, Retail, and Farm Products","Purchase machinery, equipment, tools, parts, supplies, or services necessary for the operation of an establishment. Purchase raw or semi-finished materials for manufacturing."
13-1031,32.24,36.16,40.07,43.99,13-1031.02,"Insurance Adjusters, Examiners, and Investigators","Investigate, analyze, and determine the extent of insurance companys liability concerning personal, casualty, or property loss or damages, and attempt to effect settlement with claimants. Correspond with or interview medical specialists, agents, witnesses, or claimants to compile information. Calculate benefit payments and approve payment of claims within a certain monetary limit."
13-1031,32.24,36.16,40.07,43.99,13-1031.01,"Claims Examiners, Property and Casualty Insurance","Review settled insurance claims to determine that payments and settlements have been made in accordance with company practices and procedures. Report overpayments, underpayments, and other irregularities. Confer with legal counsel on claims requiring litigation."
13-1031,32.24,36.16,40.07,43.99,13-1031.00,"Claims Adjusters, Examiners, and Investigators",Review settled claims to determine that payments and settlements are made in accordance with company practices and procedures. Confer with legal counsel on claims requiring litigation. May also settle insurance claims.
13-1032,27.74,37.09,46.44,55.79,13-1032.00,"Insurance Appraisers, Auto Damage",Appraise automobile or other vehicle damage to determine repair costs for insurance claim settlement. Prepare insurance forms to indicate repair cost or cost estimates and recommendations. May seek agreement with automotive repair shop on repair costs.
13-1041,33.46,42.35,51.25,60.14,13-1041.07,Regulatory Affairs Specialists,"Coordinate and document internal regulatory processes, such as internal audits, inspections, license renewals, or registrations. May compile and prepare materials for submission to regulatory agencies."
13-1041,33.46,42.35,51.25,60.14,13-1041.06,Coroners,"Direct activities such as autopsies, pathological and toxicological analyses, and inquests relating to the investigation of deaths occurring within a legal jurisdiction to determine cause of death or to fix responsibility for accidental, violent, or unexplained deaths."
13-1041,33.46,42.35,51.25,60.14,13-1041.04,Government Property Inspectors and Investigators,Investigate or inspect government property to ensure compliance with contract agreements and government regulations.
13-1041,33.46,42.35,51.25,60.14,13-1041.03,Equal Opportunity Representatives and Officers,"Monitor and evaluate compliance with equal opportunity laws, guidelines, and policies to ensure that employment practices and contracting arrangements give equal opportunity without regard to race, religion, color, national origin, sex, age, or disability."
13-1041,33.46,42.35,51.25,60.14,13-1041.02,Licensing Examiners and Inspectors,"Examine, evaluate, and investigate eligibility for, conformity with, or liability under licenses or permits."
13-1041,33.46,42.35,51.25,60.14,13-1041.01,Environmental Compliance Inspectors,"Inspect and investigate sources of pollution to protect the public and environment and ensure conformance with Federal, State, and local regulations and ordinances."
13-1041,33.46,42.35,51.25,60.14,13-1041.00,Compliance Officers,"Examine, evaluate, and investigate eligibility for or conformity with laws and regulations governing contract compliance of licenses and permits, and perform other compliance and enforcement inspection and analysis activities not classified elsewhere."
13-1051,30.09,39.64,49.19,58.74,13-1051.00,Cost Estimators,"Prepare cost estimates for product manufacturing, construction projects, or services to aid management in bidding on or determining price of product or service. May specialize according to particular service performed or type of product manufactured."
13-1071,27.55,38.44,49.34,60.23,13-1071.00,Human Resources Specialists,"Perform activities in the human resource area. Includes employment specialists who screen, recruit, interview, and place workers."
13-1074,27.33,34.80,42.27,49.74,13-1074.00,Farm Labor Contractors,"Recruit and hire seasonal or temporary agricultural laborers. May transport, house, and provide meals for workers."
13-1075,27.11,32.69,38.26,43.84,13-1075.00,Labor Relations Specialists,"Resolve disputes between workers and managers, negotiate collective bargaining agreements, or coordinate grievance procedures to handle employee complaints."
13-1081,34.81,50.67,66.53,82.39,13-1081.02,Logistics Analysts,"Analyze product delivery or supply chain processes to identify or recommend changes. May manage route activity including invoicing, electronic bills, and shipment tracing."
13-1081,34.81,50.67,66.53,82.39,13-1081.01,Logistics Engineers,"Design or analyze operational solutions for projects such as transportation optimization, network modeling, process and methods analysis, cost containment, capacity enhancement, routing and shipment optimization, or information management."
13-1081,34.81,50.67,66.53,82.39,13-1081.00,Logisticians,"Analyze and coordinate the logistical functions of a firm or organization. Responsible for the entire life cycle of a product, including acquisition, distribution, internal allocation, delivery, and final disposal of resources."
13-1111,45.60,68.14,90.69,113.23,13-1111.00,Management Analysts,"Conduct organizational studies and evaluations, design systems and procedures, conduct work simplification and measurement studies, and prepare operations and procedures manuals to assist management in operating more efficiently and effectively. Includes program analysts and management consultants."
13-1121,17.65,26.80,35.95,45.10,13-1121.00,"Meeting, Convention, and Event Planners","Coordinate activities of staff, convention personnel, or clients to make arrangements for group meetings, events, or conventions."
13-1131,22.10,26.49,30.89,35.28,13-1131.00,Fundraisers,"Organize activities to raise funds or otherwise solicit and gather monetary donations or other gifts for an organization. May design and produce promotional materials. May also raise awareness of the organizations work, goals, and financial needs."
13-1141,27.64,37.56,47.48,57.40,13-1141.00,"Compensation, Benefits, and Job Analysis Specialists","Conduct programs of compensation and benefits and job analysis for employer. May specialize in specific areas, such as position classification and pension programs."
13-1151,24.40,30.86,37.31,43.77,13-1151.00,Training and Development Specialists,Design and conduct training and development programs to improve individual and organizational performance. May analyze training needs.
13-1161,29.98,39.04,48.09,57.15,13-1161.00,Market Research Analysts and Marketing Specialists,"Research market conditions in local, regional, or national areas, or gather information to determine potential sales of a product or service, or create a marketing campaign. May gather information on competitors, prices, sales, and methods of marketing and distribution."
13-1199,34.81,48.67,62.53,76.39,13-1199.06,Online Merchants,"Conduct retail activities of businesses operating exclusively online. May perform duties such as preparing business strategies, buying merchandise, managing inventory, implementing marketing activities, fulfilling and shipping online orders, and balancing financial records."
13-1199,34.81,48.67,62.53,76.39,13-1199.05,Sustainability Specialists,"Address organizational sustainability issues, such as waste stream management, green building practices, and green procurement plans."
13-1199,34.81,48.67,62.53,76.39,13-1199.04,Business Continuity Planners,"Develop, maintain, or implement business continuity and disaster recovery strategies and solutions, including risk assessments, business impact analyses, strategy selection, and documentation of business continuity and disaster recovery procedures. Plan, conduct, and debrief regular mock-disaster exercises to test the adequacy of existing plans and strategies, updating procedures and plans regularly. Act as a coordinator for continuity efforts after a disruption event."
13-1199,34.81,48.67,62.53,76.39,13-1199.03,Customs Brokers,Prepare customs documentation and ensure that shipments meet all applicable laws to facilitate the import and export of goods. Determine and track duties and taxes payable and process payments on behalf of client. Sign documents under a power of attorney. Represent clients in meetings with customs officials and apply for duty refunds and tariff reclassifications. Coordinate transportation and storage of imported goods.
13-1199,34.81,48.67,62.53,76.39,13-1199.02,Security Management Specialists,"Conduct security assessments for organizations, and design security systems and processes. May specialize in areas such as physical security, personnel security, and information security. May work in fields such as health care, banking, gaming, security engineering, or manufacturing."
13-1199,34.81,48.67,62.53,76.39,13-1199.01,Energy Auditors,"Conduct energy audits of buildings, building systems, or process systems. May also conduct investment grade audits of buildings or systems."
13-1199,34.81,48.67,62.53,76.39,13-1199.00,"Business Operations Specialists, All Other",All business operations specialists not listed separately.
13-2011,35.52,50.25,64.98,79.71,13-2011.02,Auditors,Examine and analyze accounting records to determine financial status of establishment and prepare financial reports concerning operating procedures.
13-2011,35.52,50.25,64.98,79.71,13-2011.01,Accountants,"Analyze financial information and prepare financial reports to determine or maintain record of assets, liabilities, profit and loss, tax liability, or other financial activities within an organization."
13-2011,35.52,50.25,64.98,79.71,13-2011.00,Accountants and Auditors,"Examine, analyze, and interpret accounting records to prepare financial statements, give advice, or audit and evaluate statements prepared by others. Install or advise on systems of recording costs or other financial and budgetary data."
13-2021,22.00,31.14,40.29,49.43,13-2021.02,"Appraisers, Real Estate","Appraise real property to determine its value for purchase, sales, investment, mortgage, or loan purposes."
13-2021,22.00,31.14,40.29,49.43,13-2021.01,Assessors,Appraise real and personal property to determine its fair value. May assess taxes in accordance with prescribed schedules.
13-2021,22.00,31.14,40.29,49.43,13-2021.00,Appraisers and Assessors of Real Estate,Appraise real property and estimate its fair value. May assess taxes in accordance with prescribed schedules.
13-2031,31.32,35.40,39.47,43.55,13-2031.00,Budget Analysts,"Examine budget estimates for completeness, accuracy, and conformance with procedures and regulations. Analyze budgeting and accounting reports."
13-2041,32.59,45.01,57.42,69.84,13-2041.00,Credit Analysts,Analyze credit data and financial statements of individuals or firms to determine the degree of risk involved in extending credit or lending money. Prepare reports with credit information for use in decision making.
13-2051,35.31,57.89,80.47,103.05,13-2051.00,Financial Analysts,Conduct quantitative analyses of information affecting investment programs of public or private institutions.
13-2052,38.71,64.94,91.18,117.41,13-2052.00,Personal Financial Advisors,"Advise clients on financial plans using knowledge of tax and investment strategies, securities, insurance, pension plans, and real estate. Duties include assessing clients assets, liabilities, cash flow, insurance coverage, tax status, and financial objectives."
13-2053,27.76,39.95,52.14,64.33,13-2053.00,Insurance Underwriters,Review individual applications for insurance to evaluate degree of risk involved and determine acceptance of applications.
13-2061,30.84,37.08,43.32,49.56,13-2061.00,Financial Examiners,"Enforce or ensure compliance with laws and regulations governing financial and securities institutions and financial and real estate transactions. May examine, verify, or authenticate records."
13-2071,17.45,19.11,20.78,22.44,13-2071.01,Loan Counselors,Provide guidance to prospective loan applicants who have problems qualifying for traditional loans. Guidance may include determining the best type of loan and explaining loan requirements or restrictions.
13-2071,17.45,19.11,20.78,22.44,13-2071.00,Credit Counselors,"Advise and educate individuals or organizations on acquiring and managing debt. May provide guidance in determining the best type of loan and explaining loan requirements or restrictions. May help develop debt management plans, advise on credit issues, or provide budget, mortgage, and bankruptcy counseling."
13-2072,28.42,51.58,74.73,97.89,13-2072.00,Loan Officers,"Evaluate, authorize, or recommend approval of commercial, real estate, or credit loans. Advise borrowers on financial status and payment methods. Includes mortgage loan officers and agents, collection analysts, loan servicing officers, and loan underwriters."
13-2081,21.22,31.58,41.95,52.31,13-2081.00,"Tax Examiners and Collectors, and Revenue Agents",Determine tax liability or collect taxes from individuals or business firms according to prescribed laws and regulations.
13-2082,15.72,22.88,30.03,37.19,13-2082.00,Tax Preparers,Prepare tax returns for individuals or small businesses.
13-2099,35.31,57.89,80.47,103.05,13-2099.04,"Fraud Examiners, Investigators and Analysts","Obtain evidence, take statements, produce reports, and testify to findings regarding resolution of fraud allegations. May coordinate fraud detection and prevention activities."
13-2099,35.31,57.89,80.47,103.05,13-2099.03,Investment Underwriters,Manage communications or negotiations between corporate issuers of securities and clients regarding private equity investments. Underwrite the issuance of securities to provide capital for client growth. Negotiate and structure the terms of mergers or acquisitions.
13-2099,35.31,57.89,80.47,103.05,13-2099.02,Risk Management Specialists,"Analyze and manage risk management issues by identifying, measuring, and making decisions on operational or enterprise risks for an organization."
13-2099,35.31,57.89,80.47,103.05,13-2099.01,Financial Quantitative Analysts,"Develop quantitative financial products used to inform individuals or financial institutions engaged in saving, lending, investing, borrowing, or managing risk. Investigate methods for financial analysis to create mathematical models used to develop improved analytical tools or advanced financial investment instruments."
13-2099,35.31,57.89,80.47,103.05,13-2099.00,"Financial Specialists, All Other",All financial specialists not listed separately.
15-1111,56.08,72.02,87.96,103.90,15-1111.00,Computer and Information Research Scientists,"Conduct research into fundamental computer and information science as theorists, designers, or inventors. Develop solutions to problems in the field of computer hardware and software."
15-1121,44.07,62.80,81.54,100.27,15-1121.01,Informatics Nurse Specialists,"Apply knowledge of nursing and informatics to assist in the design, development, and ongoing modification of computerized health care systems. May educate staff and assist in problem solving to promote the implementation of the health care system."
15-1121,44.07,62.80,81.54,100.27,15-1121.00,Computer Systems Analysts,"Analyze science, engineering, business, and other data processing problems to implement and improve computer systems. Analyze user requirements, procedures, and problems to automate or improve existing systems and review computer system capabilities, workflow, and scheduling limitations. May analyze or recommend commercially available software."
15-1122,35.97,46.97,57.98,68.98,15-1122.00,Information Security Analysts,"Plan, implement, upgrade, or monitor security measures for the protection of computer networks and information. May ensure appropriate security controls are in place that will safeguard digital files and vital electronic infrastructure. May respond to computer security breaches and viruses."
15-1131,NOPE,NOPE,NOPE,NOPE,15-1131.00,Computer Programmers,"Create, modify, and test the code, forms, and script that allow computer applications to run. Work from specifications drawn up by software developers or other individuals. May assist software developers by analyzing user needs and designing software solutions. May develop and write computer programs to store, locate, and retrieve specific documents, data, and information."
15-1132,53.65,61.64,69.63,77.62,15-1132.00,"Software Developers, Applications","Develop, create, and modify general computer applications software or specialized utility programs. Analyze user needs and develop software solutions. Design software or customize software for client use with the aim of optimizing operational efficiency. May analyze and design databases within an application area, working individually or coordinating database development as part of a team. May supervise computer programmers."
15-1133,53.65,61.64,69.63,77.62,15-1133.00,"Software Developers, Systems Software","Research, design, develop, and test operating systems-level software, compilers, and network distribution software for medical, industrial, military, communications, aerospace, business, scientific, and general computing applications. Set operational specifications and formulate and analyze software requirements. May design embedded systems software. Apply principles and techniques of computer science, engineering, and mathematical analysis."
15-1134,28.57,34.24,39.90,45.57,15-1134.00,Web Developers,"Design, create, and modify Web sites. Analyze user needs to implement Web site content, graphics, performance, and capacity. May integrate Web sites with other computer applications. May convert written, graphic, audio, and video components to compatible Web formats by using software designed to facilitate the creation of Web and multimedia content."
15-1141,38.02,49.28,60.55,71.81,15-1141.00,Database Administrators,"Administer, test, and implement computer databases, applying knowledge of database management systems. Coordinate changes to computer databases. May plan, coordinate, and implement security measures to safeguard computer databases."
15-1142,34.83,55.57,76.30,97.04,15-1142.00,Network and Computer Systems Administrators,"Install, configure, and support an organizations local area network (LAN), wide area network (WAN), and Internet systems or a segment of a network system. Monitor network to ensure network availability to all system users and may perform necessary maintenance to support network availability. May monitor and test Web site performance to ensure Web sites operate correctly and without interruption. May assist in network modeling, analysis, planning, and coordination between network and data communications hardware and software. May supervise computer user support specialists and computer network support specialists. May administer network security measures."
15-1143,44.59,53.27,61.96,70.64,15-1143.01,Telecommunications Engineering Specialists,"Design or configure voice, video, and data communications systems. Supervise installation and post-installation service and maintenance."
15-1143,44.59,53.27,61.96,70.64,15-1143.00,Computer Network Architects,"Design and implement computer and information networks, such as local area networks (LAN), wide area networks (WAN), intranets, extranets, and other data communications networks. Perform network modeling, analysis, and planning. May also design network and computer security measures. May research and recommend network and data communications hardware and software."
15-1151,21.55,29.68,37.80,45.93,15-1151.00,Computer User Support Specialists,"Provide technical assistance to computer users. Answer questions or resolve computer problems for clients in person, or via telephone or electronically. May provide assistance concerning the use of computer hardware and software, including printing, installation, word processing, electronic mail, and operating systems."
