soccode, level1, level2, level3, level4, fullcode, title, description
13-1032,28.44,34.57,40.70,46.83,13-1032.00,"Insurance Appraisers, Auto Damage",Appraise automobile or other vehicle damage to determine repair costs for insurance claim settlement. Prepare insurance forms to indicate repair cost or cost estimates and recommendations. May seek agreement with automotive repair shop on repair costs.
13-1041,38.80,46.11,53.42,60.73,13-1041.07,Regulatory Affairs Specialists,"Coordinate and document internal regulatory processes, such as internal audits, inspections, license renewals, or registrations. May compile and prepare materials for submission to regulatory agencies."
13-1041,38.80,46.11,53.42,60.73,13-1041.06,Coroners,"Direct activities such as autopsies, pathological and toxicological analyses, and inquests relating to the investigation of deaths occurring within a legal jurisdiction to determine cause of death or to fix responsibility for accidental, violent, or unexplained deaths."
13-1041,38.80,46.11,53.42,60.73,13-1041.04,Government Property Inspectors and Investigators,Investigate or inspect government property to ensure compliance with contract agreements and government regulations.
13-1041,38.80,46.11,53.42,60.73,13-1041.03,Equal Opportunity Representatives and Officers,"Monitor and evaluate compliance with equal opportunity laws, guidelines, and policies to ensure that employment practices and contracting arrangements give equal opportunity without regard to race, religion, color, national origin, sex, age, or disability."
13-1041,38.80,46.11,53.42,60.73,13-1041.02,Licensing Examiners and Inspectors,"Examine, evaluate, and investigate eligibility for, conformity with, or liability under licenses or permits."
13-1041,38.80,46.11,53.42,60.73,13-1041.01,Environmental Compliance Inspectors,"Inspect and investigate sources of pollution to protect the public and environment and ensure conformance with Federal, State, and local regulations and ordinances."
13-1041,38.80,46.11,53.42,60.73,13-1041.00,Compliance Officers,"Examine, evaluate, and investigate eligibility for or conformity with laws and regulations governing contract compliance of licenses and permits, and perform other compliance and enforcement inspection and analysis activities not classified elsewhere."
13-1051,27.88,35.57,43.26,50.95,13-1051.00,Cost Estimators,"Prepare cost estimates for product manufacturing, construction projects, or services to aid management in bidding on or determining price of product or service. May specialize according to particular service performed or type of product manufactured."
13-1071,28.46,39.62,50.78,61.94,13-1071.00,Human Resources Specialists,"Perform activities in the human resource area. Includes employment specialists who screen, recruit, interview, and place workers."
13-1074,27.33,34.80,42.27,49.74,13-1074.00,Farm Labor Contractors,"Recruit and hire seasonal or temporary agricultural laborers. May transport, house, and provide meals for workers."
13-1075,35.89,56.03,76.16,96.30,13-1075.00,Labor Relations Specialists,"Resolve disputes between workers and managers, negotiate collective bargaining agreements, or coordinate grievance procedures to handle employee complaints."
13-1081,38.87,45.84,52.81,59.78,13-1081.02,Logistics Analysts,"Analyze product delivery or supply chain processes to identify or recommend changes. May manage route activity including invoicing, electronic bills, and shipment tracing."
13-1081,38.87,45.84,52.81,59.78,13-1081.01,Logistics Engineers,"Design or analyze operational solutions for projects such as transportation optimization, network modeling, process and methods analysis, cost containment, capacity enhancement, routing and shipment optimization, or information management."
13-1081,38.87,45.84,52.81,59.78,13-1081.00,Logisticians,"Analyze and coordinate the logistical functions of a firm or organization. Responsible for the entire life cycle of a product, including acquisition, distribution, internal allocation, delivery, and final disposal of resources."
13-1111,36.28,43.69,51.09,58.50,13-1111.00,Management Analysts,"Conduct organizational studies and evaluations, design systems and procedures, conduct work simplification and measurement studies, and prepare operations and procedures manuals to assist management in operating more efficiently and effectively. Includes program analysts and management consultants."
13-1121,20.38,25.33,30.27,35.22,13-1121.00,"Meeting, Convention, and Event Planners","Coordinate activities of staff, convention personnel, or clients to make arrangements for group meetings, events, or conventions."
13-1131,27.39,31.92,36.46,40.99,13-1131.00,Fundraisers,"Organize activities to raise funds or otherwise solicit and gather monetary donations or other gifts for an organization. May design and produce promotional materials. May also raise awareness of the organizations work, goals, and financial needs."
13-1141,33.10,46.07,59.03,72.00,13-1141.00,"Compensation, Benefits, and Job Analysis Specialists","Conduct programs of compensation and benefits and job analysis for employer. May specialize in specific areas, such as position classification and pension programs."
13-1151,27.37,36.62,45.87,55.12,13-1151.00,Training and Development Specialists,Design and conduct training and development programs to improve individual and organizational performance. May analyze training needs.
13-1161,22.37,31.90,41.44,50.97,13-1161.00,Market Research Analysts and Marketing Specialists,"Research market conditions in local, regional, or national areas, or gather information to determine potential sales of a product or service, or create a marketing campaign. May gather information on competitors, prices, sales, and methods of marketing and distribution."
13-1199,36.12,43.80,51.47,59.15,13-1199.06,Online Merchants,"Conduct retail activities of businesses operating exclusively online. May perform duties such as preparing business strategies, buying merchandise, managing inventory, implementing marketing activities, fulfilling and shipping online orders, and balancing financial records."
13-1199,36.12,43.80,51.47,59.15,13-1199.05,Sustainability Specialists,"Address organizational sustainability issues, such as waste stream management, green building practices, and green procurement plans."
13-1199,36.12,43.80,51.47,59.15,13-1199.04,Business Continuity Planners,"Develop, maintain, or implement business continuity and disaster recovery strategies and solutions, including risk assessments, business impact analyses, strategy selection, and documentation of business continuity and disaster recovery procedures. Plan, conduct, and debrief regular mock-disaster exercises to test the adequacy of existing plans and strategies, updating procedures and plans regularly. Act as a coordinator for continuity efforts after a disruption event."
13-1199,36.12,43.80,51.47,59.15,13-1199.03,Customs Brokers,Prepare customs documentation and ensure that shipments meet all applicable laws to facilitate the import and export of goods. Determine and track duties and taxes payable and process payments on behalf of client. Sign documents under a power of attorney. Represent clients in meetings with customs officials and apply for duty refunds and tariff reclassifications. Coordinate transportation and storage of imported goods.
13-1199,36.12,43.80,51.47,59.15,13-1199.02,Security Management Specialists,"Conduct security assessments for organizations, and design security systems and processes. May specialize in areas such as physical security, personnel security, and information security. May work in fields such as health care, banking, gaming, security engineering, or manufacturing."
13-1199,36.12,43.80,51.47,59.15,13-1199.01,Energy Auditors,"Conduct energy audits of buildings, building systems, or process systems. May also conduct investment grade audits of buildings or systems."
13-1199,36.12,43.80,51.47,59.15,13-1199.00,"Business Operations Specialists, All Other",All business operations specialists not listed separately.
13-2011,32.11,45.34,58.56,71.79,13-2011.02,Auditors,Examine and analyze accounting records to determine financial status of establishment and prepare financial reports concerning operating procedures.
13-2011,32.11,45.34,58.56,71.79,13-2011.01,Accountants,"Analyze financial information and prepare financial reports to determine or maintain record of assets, liabilities, profit and loss, tax liability, or other financial activities within an organization."
13-2011,32.11,45.34,58.56,71.79,13-2011.00,Accountants and Auditors,"Examine, analyze, and interpret accounting records to prepare financial statements, give advice, or audit and evaluate statements prepared by others. Install or advise on systems of recording costs or other financial and budgetary data."
13-2021,17.17,26.22,35.28,44.33,13-2021.02,"Appraisers, Real Estate","Appraise real property to determine its value for purchase, sales, investment, mortgage, or loan purposes."
13-2021,17.17,26.22,35.28,44.33,13-2021.01,Assessors,Appraise real and personal property to determine its fair value. May assess taxes in accordance with prescribed schedules.
13-2021,17.17,26.22,35.28,44.33,13-2021.00,Appraisers and Assessors of Real Estate,Appraise real property and estimate its fair value. May assess taxes in accordance with prescribed schedules.
13-2031,31.31,43.97,56.62,69.28,13-2031.00,Budget Analysts,"Examine budget estimates for completeness, accuracy, and conformance with procedures and regulations. Analyze budgeting and accounting reports."
13-2041,34.92,43.46,52.00,60.54,13-2041.00,Credit Analysts,Analyze credit data and financial statements of individuals or firms to determine the degree of risk involved in extending credit or lending money. Prepare reports with credit information for use in decision making.
13-2051,36.77,54.38,71.99,89.60,13-2051.00,Financial Analysts,Conduct quantitative analyses of information affecting investment programs of public or private institutions.
13-2052,NOPE,NOPE,NOPE,NOPE,13-2052.00,Personal Financial Advisors,"Advise clients on financial plans using knowledge of tax and investment strategies, securities, insurance, pension plans, and real estate. Duties include assessing clients assets, liabilities, cash flow, insurance coverage, tax status, and financial objectives."
13-2053,27.24,34.02,40.81,47.59,13-2053.00,Insurance Underwriters,Review individual applications for insurance to evaluate degree of risk involved and determine acceptance of applications.
13-2061,43.12,52.73,62.33,71.94,13-2061.00,Financial Examiners,"Enforce or ensure compliance with laws and regulations governing financial and securities institutions and financial and real estate transactions. May examine, verify, or authenticate records."
13-2071,22.29,29.12,35.96,42.79,13-2071.01,Loan Counselors,Provide guidance to prospective loan applicants who have problems qualifying for traditional loans. Guidance may include determining the best type of loan and explaining loan requirements or restrictions.
13-2071,22.29,29.12,35.96,42.79,13-2071.00,Credit Counselors,"Advise and educate individuals or organizations on acquiring and managing debt. May provide guidance in determining the best type of loan and explaining loan requirements or restrictions. May help develop debt management plans, advise on credit issues, or provide budget, mortgage, and bankruptcy counseling."
13-2072,26.93,36.66,46.38,56.11,13-2072.00,Loan Officers,"Evaluate, authorize, or recommend approval of commercial, real estate, or credit loans. Advise borrowers on financial status and payment methods. Includes mortgage loan officers and agents, collection analysts, loan servicing officers, and loan underwriters."
13-2081,20.06,33.08,46.09,59.11,13-2081.00,"Tax Examiners and Collectors, and Revenue Agents",Determine tax liability or collect taxes from individuals or business firms according to prescribed laws and regulations.
13-2082,18.95,31.13,43.31,55.49,13-2082.00,Tax Preparers,Prepare tax returns for individuals or small businesses.
13-2099,36.77,54.38,71.99,89.60,13-2099.04,"Fraud Examiners, Investigators and Analysts","Obtain evidence, take statements, produce reports, and testify to findings regarding resolution of fraud allegations. May coordinate fraud detection and prevention activities."
13-2099,36.77,54.38,71.99,89.60,13-2099.03,Investment Underwriters,Manage communications or negotiations between corporate issuers of securities and clients regarding private equity investments. Underwrite the issuance of securities to provide capital for client growth. Negotiate and structure the terms of mergers or acquisitions.
13-2099,36.77,54.38,71.99,89.60,13-2099.02,Risk Management Specialists,"Analyze and manage risk management issues by identifying, measuring, and making decisions on operational or enterprise risks for an organization."
13-2099,36.77,54.38,71.99,89.60,13-2099.01,Financial Quantitative Analysts,"Develop quantitative financial products used to inform individuals or financial institutions engaged in saving, lending, investing, borrowing, or managing risk. Investigate methods for financial analysis to create mathematical models used to develop improved analytical tools or advanced financial investment instruments."
13-2099,36.77,54.38,71.99,89.60,13-2099.00,"Financial Specialists, All Other",All financial specialists not listed separately.
15-1111,48.23,65.29,82.34,99.40,15-1111.00,Computer and Information Research Scientists,"Conduct research into fundamental computer and information science as theorists, designers, or inventors. Develop solutions to problems in the field of computer hardware and software."
15-1121,41.41,50.54,59.66,68.79,15-1121.01,Informatics Nurse Specialists,"Apply knowledge of nursing and informatics to assist in the design, development, and ongoing modification of computerized health care systems. May educate staff and assist in problem solving to promote the implementation of the health care system."
15-1121,41.41,50.54,59.66,68.79,15-1121.00,Computer Systems Analysts,"Analyze science, engineering, business, and other data processing problems to implement and improve computer systems. Analyze user requirements, procedures, and problems to automate or improve existing systems and review computer system capabilities, workflow, and scheduling limitations. May analyze or recommend commercially available software."
15-1122,44.10,55.23,66.36,77.49,15-1122.00,Information Security Analysts,"Plan, implement, upgrade, or monitor security measures for the protection of computer networks and information. May ensure appropriate security controls are in place that will safeguard digital files and vital electronic infrastructure. May respond to computer security breaches and viruses."
15-1131,39.24,45.52,51.80,58.08,15-1131.00,Computer Programmers,"Create, modify, and test the code, forms, and script that allow computer applications to run. Work from specifications drawn up by software developers or other individuals. May assist software developers by analyzing user needs and designing software solutions. May develop and write computer programs to store, locate, and retrieve specific documents, data, and information."
15-1132,37.43,44.47,51.50,58.54,15-1132.00,"Software Developers, Applications","Develop, create, and modify general computer applications software or specialized utility programs. Analyze user needs and develop software solutions. Design software or customize software for client use with the aim of optimizing operational efficiency. May analyze and design databases within an application area, working individually or coordinating database development as part of a team. May supervise computer programmers."
15-1133,37.43,44.47,51.50,58.54,15-1133.00,"Software Developers, Systems Software","Research, design, develop, and test operating systems-level software, compilers, and network distribution software for medical, industrial, military, communications, aerospace, business, scientific, and general computing applications. Set operational specifications and formulate and analyze software requirements. May design embedded systems software. Apply principles and techniques of computer science, engineering, and mathematical analysis."
15-1134,34.89,42.22,49.56,56.89,15-1134.00,Web Developers,"Design, create, and modify Web sites. Analyze user needs to implement Web site content, graphics, performance, and capacity. May integrate Web sites with other computer applications. May convert written, graphic, audio, and video components to compatible Web formats by using software designed to facilitate the creation of Web and multimedia content."
15-1141,44.58,54.03,63.49,72.94,15-1141.00,Database Administrators,"Administer, test, and implement computer databases, applying knowledge of database management systems. Coordinate changes to computer databases. May plan, coordinate, and implement security measures to safeguard computer databases."
15-1142,35.05,42.97,50.90,58.82,15-1142.00,Network and Computer Systems Administrators,"Install, configure, and support an organizations local area network (LAN), wide area network (WAN), and Internet systems or a segment of a network system. Monitor network to ensure network availability to all system users and may perform necessary maintenance to support network availability. May monitor and test Web site performance to ensure Web sites operate correctly and without interruption. May assist in network modeling, analysis, planning, and coordination between network and data communications hardware and software. May supervise computer user support specialists and computer network support specialists. May administer network security measures."
15-1143,49.04,75.17,101.30,127.43,15-1143.01,Telecommunications Engineering Specialists,"Design or configure voice, video, and data communications systems. Supervise installation and post-installation service and maintenance."
15-1143,49.04,75.17,101.30,127.43,15-1143.00,Computer Network Architects,"Design and implement computer and information networks, such as local area networks (LAN), wide area networks (WAN), intranets, extranets, and other data communications networks. Perform network modeling, analysis, and planning. May also design network and computer security measures. May research and recommend network and data communications hardware and software."
15-1151,21.68,28.50,35.31,42.13,15-1151.00,Computer User Support Specialists,"Provide technical assistance to computer users. Answer questions or resolve computer problems for clients in person, or via telephone or electronically. May provide assistance concerning the use of computer hardware and software, including printing, installation, word processing, electronic mail, and operating systems."
15-1152,28.31,36.49,44.68,52.86,15-1152.00,Computer Network Support Specialists,"Analyze, test, troubleshoot, and evaluate existing network systems, such as local area network (LAN), wide area network (WAN), and Internet systems or a segment of a network system. Perform network maintenance to ensure networks operate correctly with minimal interruption."
